Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
COG,Congo,"Congo, Rep.",Republic of Congo,CG,CFA franc,"April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.",Sub-Saharan Africa,Lower middle income,CG,1990,,Value added at producer prices (VAP),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011/12","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,2013,2009,2010,2002
CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,,Latin America & Caribbean,Upper middle income,CR,1991,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2012",Yes,2014,2010,2012,1997
CIV,C?te d'Ivoire,C?te d'Ivoire,Republic of C?te d'Ivoire,CI,CFA franc,,Sub-Saharan Africa,Lower middle income,CI,1996,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2008",,2014,,2012,2005
ZAR,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,"Based on INS (2000-09) and IMF (2010-13) data, national accounts data were revised for 2000 onward; the base year changed to 2005.",Sub-Saharan Africa,Low income,ZR,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1999?2001,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1984,"Demographic and Health Survey (DHS), 2013","1-2-3 survey (1-2-3), 2004/05",,1990,,1987,2005
DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc,,Middle East & North Africa,Lower middle income,DJ,1990,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2006","Priority survey (PS), 2002",,,,2009,2000
DMA,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,DM,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,,,Yes,,,2012,2004
DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,,Latin America & Caribbean,Upper middle income,DO,1991,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2012",,2012/13,,2012,2005
EAP,East Asia & Pacific (developing only),East Asia & Pacific,East Asia & Pacific (developing only),4E,,East Asia and Pacific regional aggregate (does not include high-income economies).,,,4E,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.,Latin America & Caribbean,Upper middle income,EC,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2012",,2013/15,2008,2012,2005
EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,EG,Egyptian pound,Fiscal year end: June 30; reporting period for national accounts data: FY.,Middle East & North Africa,Lower middle income,EG,1991/92,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 2008","Expenditure survey/budget survey (ES/BS), 2011",Yes,2009/2010,2010,2012,2000
SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,1990,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Reproductive Health Survey (RHS), 2008","Integrated household survey (IHS), 2012",Yes,2007/2008,,2012,2007
ERI,Eritrea,Eritrea,State of Eritrea,ER,Eritrean nakfa,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",Sub-Saharan Africa,Low income,ER,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Estimate,,,,1984,"Demographic and Health Survey (DHS), 2002","Priority survey (PS), 1993",,,2010,2003,2004
ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,"Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2011.",Sub-Saharan Africa,Low income,ET,2011,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2010/11",,,2009,2012,2002
ECA,Europe & Central Asia (developing only),Europe & Central Asia,Europe & Central Asia (developing only),7E,,Europe and Central Asia regional aggregate (does not include high-income economies).,,,7E,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,"Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.",East Asia & Pacific,Upper middle income,FJ,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,,"Expenditure survey/budget survey (ES/BS), 2009",Yes,2009,2009,2012,2000
GAB,Gabon,Gabon,Gabonese Republic,GA,CFA franc,,Sub-Saharan Africa,Upper middle income,GA,1991,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",,,,2009,2005
GEO,Georgia,Georgia,Georgia,GE,Georgian lari,,Europe & Central Asia,Lower middle income,GE,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1990?95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005","Integrated household survey (IHS), 2011",Yes,,2010,2012,2005
GHA,Ghana,Ghana,Republic of Ghana,GH,New Ghanaian cedi,"In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",Sub-Saharan Africa,Lower middle income,GH,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1973?87,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 2005/06",,2013/ 2014,2003,2012,2000
GRD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,GD,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Reproductive Health Survey (RHS), 1985",,Yes,2012,,2009,2005
GTM,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,,Latin America & Caribbean,Lower middle income,GT,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Reproductive Health Survey (RHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2013,,2012,2006
GIN,Guinea,Guinea,Republic of Guinea,GN,Guinean franc,,Sub-Saharan Africa,Low income,GN,2003,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),1996,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2008,2001
GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,GW,CFA franc,"In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",Sub-Saharan Africa,Low income,GW,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",,,,2005,2000
GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,"In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",Latin America & Caribbean,Lower middle income,GY,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 1998",,,,2012,2000
HTI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",Latin America & Caribbean,Low income,HT,1986/87,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1991,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2003,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2001",,2008/ 2009,,1997,2000
HND,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,,Latin America & Caribbean,Lower middle income,HN,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1988?89,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2010",,2013,,2012,2006
HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,"April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",Europe & Central Asia,Upper middle income,HU,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2007",Yes,2010,2009,2012,2007
IND,India,India,Republic of India,IN,Indian rupee,Fiscal year end: March 31; reporting period for national accounts data: FY. April 2013 database update: The India Central Statistical Office revised historical data series both current and constant going back to 1960 with 2004?05 as the base.,South Asia,Lower middle income,IN,2004/05,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005/06","Integrated household survey (IHS), 2012",,2011,2009,2012,2010
IDN,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,East Asia & Pacific,Lower middle income,ID,2000,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2013",,2013,2009,2012,2000
